comment_id,post_id,author,created_utc,reason,body_preview,collection_week_idx,collection_week_label,pulled_at_utc
nkecwhw,1ob11w0,[deleted],1760918536,blank_or_deleted_author,[removed],3,W03_2025-10-20_to_2025-10-26,2026-04-07T03:46:08.335271+00:00
nked0qa,1oasd6o,[deleted],1760918581,blank_or_deleted_author,[removed],3,W03_2025-10-20_to_2025-10-26,2026-04-07T03:46:08.335271+00:00
nkedfrl,1ob523x,[deleted],1760918738,blank_or_deleted_author,[removed],3,W03_2025-10-20_to_2025-10-26,2026-04-07T03:46:08.335271+00:00
nkee9ih,1haql31,[deleted],1760919045,blank_or_deleted_author,[removed],3,W03_2025-10-20_to_2025-10-26,2026-04-07T03:46:08.335271+00:00
nkeizrz,1ob5z03,[deleted],1760920815,blank_or_deleted_author,[removed],3,W03_2025-10-20_to_2025-10-26,2026-04-07T03:46:08.335271+00:00
nkejnv6,1ob0vvo,[deleted],1760921071,blank_or_deleted_author,[removed],3,W03_2025-10-20_to_2025-10-26,2026-04-07T03:46:08.335271+00:00
nlkfb6t,1og8wmd,[deleted],1761523320,blank_or_deleted_author,[removed],4,W04_2025-10-27_to_2025-11-02,2026-04-07T03:46:08.335271+00:00
nlkgcjo,1ogyxfu,[deleted],1761523694,blank_or_deleted_author,[removed],4,W04_2025-10-27_to_2025-11-02,2026-04-07T03:46:08.335271+00:00
nlkgx7l,1ogyxfu,[deleted],1761523901,blank_or_deleted_author,[removed],4,W04_2025-10-27_to_2025-11-02,2026-04-07T03:46:08.335271+00:00
nlkh3ox,1ogzmes,[deleted],1761523965,blank_or_deleted_author,[removed],4,W04_2025-10-27_to_2025-11-02,2026-04-07T03:46:08.335271+00:00
nlkh7r3,1ogyxfu,[deleted],1761524006,blank_or_deleted_author,[removed],4,W04_2025-10-27_to_2025-11-02,2026-04-07T03:46:08.335271+00:00
nlkhiyw,1ogyxfu,[deleted],1761524118,blank_or_deleted_author,[removed],4,W04_2025-10-27_to_2025-11-02,2026-04-07T03:46:08.335271+00:00
nlkhzkz,1ogyxfu,[deleted],1761524282,blank_or_deleted_author,[removed],4,W04_2025-10-27_to_2025-11-02,2026-04-07T03:46:08.335271+00:00
nlki6tb,1ogyxfu,[deleted],1761524353,blank_or_deleted_author,[removed],4,W04_2025-10-27_to_2025-11-02,2026-04-07T03:46:08.335271+00:00
nlkieko,1ogyxfu,[deleted],1761524430,blank_or_deleted_author,[deleted],4,W04_2025-10-27_to_2025-11-02,2026-04-07T03:46:08.335271+00:00
nlkiq1i,1ogyxfu,[deleted],1761524543,blank_or_deleted_author,[removed],4,W04_2025-10-27_to_2025-11-02,2026-04-07T03:46:08.335271+00:00
nlkirp0,1ogjx1k,[deleted],1761524560,blank_or_deleted_author,[removed],4,W04_2025-10-27_to_2025-11-02,2026-04-07T03:46:08.335271+00:00
nlkjrpm,1ogyxfu,[deleted],1761524922,blank_or_deleted_author,[removed],4,W04_2025-10-27_to_2025-11-02,2026-04-07T03:46:08.335271+00:00
nlkl329,1ogyxfu,[deleted],1761525398,blank_or_deleted_author,[removed],4,W04_2025-10-27_to_2025-11-02,2026-04-07T03:46:08.335271+00:00
nlkl7i5,1ogyuzi,[deleted],1761525442,blank_or_deleted_author,[removed],4,W04_2025-10-27_to_2025-11-02,2026-04-07T03:46:08.335271+00:00
nlkl9ri,1ogjx1k,[deleted],1761525465,blank_or_deleted_author,[removed],4,W04_2025-10-27_to_2025-11-02,2026-04-07T03:46:08.335271+00:00
nmso254,1omhcjl,[deleted],1762128119,blank_or_deleted_author,[removed],5,W05_2025-11-03_to_2025-11-09,2026-04-07T03:46:08.335271+00:00
nmsodsa,1omt021,[deleted],1762128230,blank_or_deleted_author,[removed],5,W05_2025-11-03_to_2025-11-09,2026-04-07T03:46:08.335271+00:00
nmsoic2,1omw3o0,[deleted],1762128273,blank_or_deleted_author,[deleted],5,W05_2025-11-03_to_2025-11-09,2026-04-07T03:46:08.335271+00:00
nmson4u,1omtdyd,[deleted],1762128319,blank_or_deleted_author,[removed],5,W05_2025-11-03_to_2025-11-09,2026-04-07T03:46:08.335271+00:00
nmsoodf,1omw6ob,todayilearned-ModTeam,1762128331,modteam_style_username,"This includes (but is not limited to) submissions related to:

    Recent political issues and politicians
    Social and economic issues (including race/religion/gender)
    Environmental issues
    Police misconduct",5,W05_2025-11-03_to_2025-11-09,2026-04-07T03:46:08.335271+00:00
nmsopz9,1omt29i,todayilearned-ModTeam,1762128346,modteam_style_username,"The submission has been removed because it is either too general, cannot stand on its own, or is simply a random coincidence",5,W05_2025-11-03_to_2025-11-09,2026-04-07T03:46:08.335271+00:00
nmspkdq,1omx5so,todayilearned-ModTeam,1762128635,modteam_style_username,Please link directly to a reliable source that supports every claim in your post title.,5,W05_2025-11-03_to_2025-11-09,2026-04-07T03:46:08.335271+00:00
nmsr1zf,1omw3o0,[deleted],1762129153,blank_or_deleted_author,[removed],5,W05_2025-11-03_to_2025-11-09,2026-04-07T03:46:08.335271+00:00
nmssi6u,1omw3o0,[deleted],1762129660,blank_or_deleted_author,[removed],5,W05_2025-11-03_to_2025-11-09,2026-04-07T03:46:08.335271+00:00
nmst0zt,1omtdyd,[deleted],1762129842,blank_or_deleted_author,[removed],5,W05_2025-11-03_to_2025-11-09,2026-04-07T03:46:08.335271+00:00
nmstvkf,1omtdyd,[deleted],1762130143,blank_or_deleted_author,[removed],5,W05_2025-11-03_to_2025-11-09,2026-04-07T03:46:08.335271+00:00
nmsu7ob,1omps8w,[deleted],1762130263,blank_or_deleted_author,[removed],5,W05_2025-11-03_to_2025-11-09,2026-04-07T03:46:08.335271+00:00
no0szys,1ost4jq,[deleted],1762732822,blank_or_deleted_author,[removed],6,W06_2025-11-10_to_2025-11-16,2026-04-07T03:46:08.335271+00:00
no0vxan,1osm90b,[deleted],1762733823,blank_or_deleted_author,[removed],6,W06_2025-11-10_to_2025-11-16,2026-04-07T03:46:08.335271+00:00
no0zsi6,1oszhu7,[deleted],1762735169,blank_or_deleted_author,[removed],6,W06_2025-11-10_to_2025-11-16,2026-04-07T03:46:08.335271+00:00
np8eq82,1oysskh,[deleted],1763337819,blank_or_deleted_author,[removed],7,W07_2025-11-17_to_2025-11-23,2026-04-07T03:46:08.335271+00:00
np8fss0,1oz17ur,[deleted],1763338212,blank_or_deleted_author,[removed],7,W07_2025-11-17_to_2025-11-23,2026-04-07T03:46:08.335271+00:00
np8hs8o,g9yszg,[deleted],1763338890,blank_or_deleted_author,[removed],7,W07_2025-11-17_to_2025-11-23,2026-04-07T03:46:08.335271+00:00
np8ijg7,1oyhmu4,[deleted],1763339147,blank_or_deleted_author,[removed],7,W07_2025-11-17_to_2025-11-23,2026-04-07T03:46:08.335271+00:00
np8jtv6,1oyhmu4,[deleted],1763339583,blank_or_deleted_author,[removed],7,W07_2025-11-17_to_2025-11-23,2026-04-07T03:46:08.335271+00:00
np8kc82,1oyzntc,todayilearned-ModTeam,1763339756,modteam_style_username,This submission was removed because it is on a topic that is frequently posted to this sub.,7,W07_2025-11-17_to_2025-11-23,2026-04-07T03:46:08.335271+00:00
np8kidm,1oyhmu4,[deleted],1763339811,blank_or_deleted_author,[removed],7,W07_2025-11-17_to_2025-11-23,2026-04-07T03:46:08.335271+00:00
np8kqr7,1oy3637,todayilearned-ModTeam,1763339890,modteam_style_username,Please link directly to a reliable source that supports every claim in your post title.,7,W07_2025-11-17_to_2025-11-23,2026-04-07T03:46:08.335271+00:00
np8lqbq,1oyo4q9,[deleted],1763340222,blank_or_deleted_author,[deleted],7,W07_2025-11-17_to_2025-11-23,2026-04-07T03:46:08.335271+00:00
np8m3mu,1oz17ur,[deleted],1763340348,blank_or_deleted_author,[removed],7,W07_2025-11-17_to_2025-11-23,2026-04-07T03:46:08.335271+00:00
np8mha6,1oyq0u8,[deleted],1763340477,blank_or_deleted_author,[deleted],7,W07_2025-11-17_to_2025-11-23,2026-04-07T03:46:08.335271+00:00
np8oma6,1oz17ur,[deleted],1763341213,blank_or_deleted_author,[removed],7,W07_2025-11-17_to_2025-11-23,2026-04-07T03:46:08.335271+00:00
np8oxfn,1oz17ur,[deleted],1763341324,blank_or_deleted_author,[removed],7,W07_2025-11-17_to_2025-11-23,2026-04-07T03:46:08.335271+00:00
nqg2tjb,1p41co5,[deleted],1763942481,blank_or_deleted_author,[removed],8,W08_2025-11-24_to_2025-11-30,2026-04-07T03:46:08.335271+00:00
nqg3t6d,1p50m22,[deleted],1763942821,blank_or_deleted_author,[removed],8,W08_2025-11-24_to_2025-11-30,2026-04-07T03:46:08.335271+00:00
nqg3wch,165p7qt,[deleted],1763942851,blank_or_deleted_author,[removed],8,W08_2025-11-24_to_2025-11-30,2026-04-07T03:46:08.335271+00:00
nqg6hlq,1p4wtni,[deleted],1763943744,blank_or_deleted_author,[removed],8,W08_2025-11-24_to_2025-11-30,2026-04-07T03:46:08.335271+00:00
nqgab07,1p3yng2,[deleted],1763945050,blank_or_deleted_author,[removed],8,W08_2025-11-24_to_2025-11-30,2026-04-07T03:46:08.335271+00:00
nqgb3hl,1p50m22,[deleted],1763945325,blank_or_deleted_author,[removed],8,W08_2025-11-24_to_2025-11-30,2026-04-07T03:46:08.335271+00:00
nqgbbzo,1p50m22,[deleted],1763945406,blank_or_deleted_author,[removed],8,W08_2025-11-24_to_2025-11-30,2026-04-07T03:46:08.335271+00:00
nqgc8e5,1p52vfv,[deleted],1763945723,blank_or_deleted_author,[removed],8,W08_2025-11-24_to_2025-11-30,2026-04-07T03:46:08.335271+00:00
nrml9sj,1p7qsyg,[deleted],1764548034,blank_or_deleted_author,[removed],9,W09_2025-12-01_to_2025-12-07,2026-04-07T03:46:08.335271+00:00
nrmlt0z,1patk1m,[deleted],1764548219,blank_or_deleted_author,[removed],9,W09_2025-12-01_to_2025-12-07,2026-04-07T03:46:08.335271+00:00
nrmozfr,1p916fj,[deleted],1764549317,blank_or_deleted_author,[deleted],9,W09_2025-12-01_to_2025-12-07,2026-04-07T03:46:08.335271+00:00
nrmpe43,1pawc6i,[deleted],1764549458,blank_or_deleted_author,[removed],9,W09_2025-12-01_to_2025-12-07,2026-04-07T03:46:08.335271+00:00
nrmqvgc,g8pk3g,[deleted],1764549978,blank_or_deleted_author,[removed],9,W09_2025-12-01_to_2025-12-07,2026-04-07T03:46:08.335271+00:00
nrmqw7i,1pakw3t,[deleted],1764549986,blank_or_deleted_author,[removed],9,W09_2025-12-01_to_2025-12-07,2026-04-07T03:46:08.335271+00:00
nrmr7du,g8pk3g,[deleted],1764550098,blank_or_deleted_author,[removed],9,W09_2025-12-01_to_2025-12-07,2026-04-07T03:46:08.335271+00:00
nrmrafu,g8pk3g,[deleted],1764550128,blank_or_deleted_author,[removed],9,W09_2025-12-01_to_2025-12-07,2026-04-07T03:46:08.335271+00:00
nrmrbv2,g8pk3g,[deleted],1764550143,blank_or_deleted_author,[removed],9,W09_2025-12-01_to_2025-12-07,2026-04-07T03:46:08.335271+00:00
nrmrjvf,g8pk3g,[deleted],1764550222,blank_or_deleted_author,[removed],9,W09_2025-12-01_to_2025-12-07,2026-04-07T03:46:08.335271+00:00
nrmsnia,1p9wmo5,[deleted],1764550619,blank_or_deleted_author,[removed],9,W09_2025-12-01_to_2025-12-07,2026-04-07T03:46:08.335271+00:00
nrmt4pm,1pat3bs,[deleted],1764550793,blank_or_deleted_author,[removed],9,W09_2025-12-01_to_2025-12-07,2026-04-07T03:46:08.335271+00:00
nrmtli9,1paynw7,[deleted],1764550963,blank_or_deleted_author,[removed],9,W09_2025-12-01_to_2025-12-07,2026-04-07T03:46:08.335271+00:00
nsureje,1pgwsxs,[deleted],1765153273,blank_or_deleted_author,[removed],10,W10_2025-12-08_to_2025-12-14,2026-04-07T03:46:08.335271+00:00
nsuucvj,1pdgm5c,[deleted],1765154248,blank_or_deleted_author,[removed],10,W10_2025-12-08_to_2025-12-14,2026-04-07T03:46:08.335271+00:00
nsuulnx,1p2bjc8,[deleted],1765154332,blank_or_deleted_author,[removed],10,W10_2025-12-08_to_2025-12-14,2026-04-07T03:46:08.335271+00:00
nsuv089,1pgtl3t,[deleted],1765154472,blank_or_deleted_author,[removed],10,W10_2025-12-08_to_2025-12-14,2026-04-07T03:46:08.335271+00:00
nsuvsy3,1pgtl3t,[deleted],1765154750,blank_or_deleted_author,[deleted],10,W10_2025-12-08_to_2025-12-14,2026-04-07T03:46:08.335271+00:00
nsuw01r,1pgyjzo,[deleted],1765154820,blank_or_deleted_author,[removed],10,W10_2025-12-08_to_2025-12-14,2026-04-07T03:46:08.335271+00:00
nsuwc6p,1pgvh39,[deleted],1765154941,blank_or_deleted_author,[removed],10,W10_2025-12-08_to_2025-12-14,2026-04-07T03:46:08.335271+00:00
nsuwenp,1pgwsxs,[deleted],1765154965,blank_or_deleted_author,[removed],10,W10_2025-12-08_to_2025-12-14,2026-04-07T03:46:08.335271+00:00
nsuwioi,1pgwsxs,[deleted],1765155005,blank_or_deleted_author,[removed],10,W10_2025-12-08_to_2025-12-14,2026-04-07T03:46:08.335271+00:00
nsux05n,1pgsgwr,[deleted],1765155176,blank_or_deleted_author,[removed],10,W10_2025-12-08_to_2025-12-14,2026-04-07T03:46:08.335271+00:00
nsuxats,1pgsgwr,[deleted],1765155281,blank_or_deleted_author,[removed],10,W10_2025-12-08_to_2025-12-14,2026-04-07T03:46:08.335271+00:00
nsuxawh,85dblz,[deleted],1765155282,blank_or_deleted_author,[removed],10,W10_2025-12-08_to_2025-12-14,2026-04-07T03:46:08.335271+00:00
nsuxikd,vla3aj,[deleted],1765155358,blank_or_deleted_author,[removed],10,W10_2025-12-08_to_2025-12-14,2026-04-07T03:46:08.335271+00:00
nsuxxbk,1pgtl3t,[deleted],1765155506,blank_or_deleted_author,[removed],10,W10_2025-12-08_to_2025-12-14,2026-04-07T03:46:08.335271+00:00
nsuy656,1pgtl3t,[deleted],1765155594,blank_or_deleted_author,[removed],10,W10_2025-12-08_to_2025-12-14,2026-04-07T03:46:08.335271+00:00
nsuybza,1pgtl3t,[deleted],1765155654,blank_or_deleted_author,[removed],10,W10_2025-12-08_to_2025-12-14,2026-04-07T03:46:08.335271+00:00
nsuz83k,1pglu5k,[deleted],1765155982,blank_or_deleted_author,[removed],10,W10_2025-12-08_to_2025-12-14,2026-04-07T03:46:08.335271+00:00
nsuzcpg,28n3xx,[deleted],1765156028,blank_or_deleted_author,[removed],10,W10_2025-12-08_to_2025-12-14,2026-04-07T03:46:08.335271+00:00
nu2jk3e,1pmjtbg,[deleted],1765757127,blank_or_deleted_author,[removed],11,W11_2025-12-15_to_2025-12-21,2026-04-07T03:46:08.335271+00:00
nu2jkrv,1pmswlh,[deleted],1765757133,blank_or_deleted_author,[deleted],11,W11_2025-12-15_to_2025-12-21,2026-04-07T03:46:08.335271+00:00
nu2k552,1pme25z,[deleted],1765757322,blank_or_deleted_author,[deleted],11,W11_2025-12-15_to_2025-12-21,2026-04-07T03:46:08.335271+00:00
nu2k84w,1pmkswr,[deleted],1765757349,blank_or_deleted_author,[removed],11,W11_2025-12-15_to_2025-12-21,2026-04-07T03:46:08.335271+00:00
nu2kd82,1pmjtbg,[deleted],1765757397,blank_or_deleted_author,[removed],11,W11_2025-12-15_to_2025-12-21,2026-04-07T03:46:08.335271+00:00
nu2mcxh,1pmjtbg,[deleted],1765758037,blank_or_deleted_author,[removed],11,W11_2025-12-15_to_2025-12-21,2026-04-07T03:46:08.335271+00:00
nu2n2ts,1pmsr61,[deleted],1765758267,blank_or_deleted_author,[removed],11,W11_2025-12-15_to_2025-12-21,2026-04-07T03:46:08.335271+00:00
nu2nr99,1pmqceo,[deleted],1765758483,blank_or_deleted_author,[removed],11,W11_2025-12-15_to_2025-12-21,2026-04-07T03:46:08.335271+00:00
nu2o65i,1pmjtbg,[deleted],1765758618,blank_or_deleted_author,[removed],11,W11_2025-12-15_to_2025-12-21,2026-04-07T03:46:08.335271+00:00
nu2ohuc,1djd3r,[deleted],1765758727,blank_or_deleted_author,[removed],11,W11_2025-12-15_to_2025-12-21,2026-04-07T03:46:08.335271+00:00
nu2ok6g,1djd3r,[deleted],1765758748,blank_or_deleted_author,[removed],11,W11_2025-12-15_to_2025-12-21,2026-04-07T03:46:08.335271+00:00
nu2r0fb,1pmjtbg,[deleted],1765759558,blank_or_deleted_author,[removed],11,W11_2025-12-15_to_2025-12-21,2026-04-07T03:46:08.335271+00:00
nvaa9fu,1psiey6,[deleted],1766361723,blank_or_deleted_author,[removed],12,W12_2025-12-22_to_2025-12-28,2026-04-07T03:46:08.335271+00:00
nvaak2g,1psfk4v,[deleted],1766361827,blank_or_deleted_author,[removed],12,W12_2025-12-22_to_2025-12-28,2026-04-07T03:46:08.335271+00:00
nvaamsu,1ps9w18,[deleted],1766361853,blank_or_deleted_author,[removed],12,W12_2025-12-22_to_2025-12-28,2026-04-07T03:46:08.335271+00:00
nvabl7l,1pskt0a,[deleted],1766362179,blank_or_deleted_author,[removed],12,W12_2025-12-22_to_2025-12-28,2026-04-07T03:46:08.335271+00:00
nvad9tq,1ps9w18,[deleted],1766362749,blank_or_deleted_author,[removed],12,W12_2025-12-22_to_2025-12-28,2026-04-07T03:46:08.335271+00:00
nvaeuf2,1ps9w18,[deleted],1766363288,blank_or_deleted_author,[removed],12,W12_2025-12-22_to_2025-12-28,2026-04-07T03:46:08.335271+00:00
nvaex6c,1pskt0a,[deleted],1766363314,blank_or_deleted_author,[removed],12,W12_2025-12-22_to_2025-12-28,2026-04-07T03:46:08.335271+00:00
